Nombre de juego;ID;Jugadores pico diarios;Precio en $;Jugabilidad;Categorías
Counter-Strike 2;/app/730;1277907;0;Multijugador;Action
Dota 2;/app/570;735221;0;Multijugador;Action
PUBG: BATTLEGROUNDS;/app/578080;587152;0;Multijugador;Action
Apex Legends;/app/1172470;344621;0;Multijugador;Action
NARAKA: BLADEPOINT;/app/1203220;293291;0;Multijugador;Action
Grand Theft Auto V;/app/271590;273345;76.55;Multijugador;Action
Baldur's Gate 3;/app/1086940;297492;79.99;Multijugador;Adventure
Monster Hunter: World;/app/582010;162987;15.99;No multijugador;Action
Lethal Company;/app/1966720;203632;9.54;Multijugador;Action
Wallpaper Engine;/app/431960;132225;0;No multijugador;Casual
Rust;/app/252490;190886;11.66;Multijugador;Action
Call of Duty®;/app/1938090;141643;48.99;Multijugador;Action
War Thunder;/app/236390;112141;0;Multijugador;Action
Warframe;/app/230410;87383;0;Multijugador;Action
ELDEN RING;/app/1245620;99007;30.56;Multijugador;Action
Football Manager 2024;/app/2252570;88894;5.99;No multijugador;Simulation
Unturned;/app/304930;64089;0;Multijugador;Action
THE FINALS;/app/2073850;149660;0;Multijugador;Action
Don't Starve Together;/app/322330;71186;9.99;Multijugador;Action
Team Fortress 2;/app/440;215509;0;Multijugador;Action
Sid Meier's Civilization VI;/app/289070;76337;0.49;Multijugador;Strategy
Tom Clancy's Rainbow Six Siege;/app/359550;80601;0;Multijugador;Action
EA SPORTS FC™ 24;/app/2195250;75817;15.46;Multijugador;Simulation
Red Dead Redemption 2;/app/1174180;72729;23.57;Multijugador;Action
Path of Exile;/app/238960;100581;0;Multijugador;Action
